IP,Time,URL,Staus
10.130.2.1,16/Feb/2018:04:47:15,GET /robots.txt HTTP/1.1,404
10.128.2.1,16/Feb/2018:11:37:22,GET /robots.txt HTTP/1.1,404
10.128.2.1,16/Feb/2018:11:37:26,GET / HTTP/1.1,302
10.130.2.1,16/Feb/2018:11:37:30,GET /login.php HTTP/1.1,200
10.130.2.1,16/Feb/2018:11:40:26,GET /home.php HTTP/1.1,302
10.130.2.1,16/Feb/2018:11:40:27,GET /login.php HTTP/1.1,200
10.128.2.1,16/Feb/2018:11:40:27,GET /css/font-awesome.min.css HTTP/1.1,200
10.130.2.1,16/Feb/2018:11:40:27,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1,16/Feb/2018:11:40:27,GET /css/style.css HTTP/1.1,200
10.131.0.1,16/Feb/2018:11:40:27,GET /css/normalize.css HTTP/1.1,200
10.130.2.1,16/Feb/2018:11:40:27,GET /css/main.css HTTP/1.1,200
10.130.2.1,16/Feb/2018:11:40:27,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1,16/Feb/2018:11:40:28,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.128.2.1,16/Feb/2018:11:40:28,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.128.2.1,16/Feb/2018:11:40:29,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.128.2.1,16/Feb/2018:11:40:29,GET /img/ruet.png HTTP/1.1,200
10.128.2.1,16/Feb/2018:11:40:34,GET /sign.php HTTP/1.1,200
10.128.2.1,16/Feb/2018:11:40:34,GET /sign.php HTTP/1.1,200
10.131.0.1,16/Feb/2018:17:20:13,GET /robots.txt HTTP/1.1,404
10.128.2.1,16/Feb/2018:19:12:14,GET /home.php HTTP/1.1,302
10.130.2.1,16/Feb/2018:19:12:16,GET /login.php HTTP/1.1,200
10.130.2.1,16/Feb/2018:19:12:16,GET /css/bootstrap.min.css HTTP/1.1,200
10.130.2.1,16/Feb/2018:19:12:17,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.131.0.1,16/Feb/2018:19:12:17,GET /css/style.css HTTP/1.1,200
10.128.2.1,16/Feb/2018:19:12:17,GET /css/main.css HTTP/1.1,200
10.130.2.1,16/Feb/2018:19:12:17,GET /css/normalize.css HTTP/1.1,200
10.128.2.1,16/Feb/2018:19:12:17,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.128.2.1,16/Feb/2018:19:12:17,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.0.1,16/Feb/2018:19:12:17,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.128.2.1,16/Feb/2018:19:12:21,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.128.2.1,16/Feb/2018:19:12:24,GET /img/ruet.png HTTP/1.1,200
10.128.2.1,16/Feb/2018:19:12:35,GET /login.php HTTP/1.1,200
10.128.2.1,16/Feb/2018:19:12:42,GET /login.php HTTP/1.1,200
