IP,Time,URL,Staus
10.128.2.1,19/Feb/2018:12:50:53,GET /robots.txt HTTP/1.1,404
10.130.2.1,19/Feb/2018:12:54:21,GET / HTTP/1.1,302
10.130.2.1,19/Feb/2018:12:56:58,GET /login.php HTTP/1.1,200
10.128.2.1,19/Feb/2018:17:11:56,GET / HTTP/1.1,302
10.130.2.1,19/Feb/2018:17:17:37,GET /login.php HTTP/1.1,200
10.131.0.1,19/Feb/2018:19:09:01,GET /robots.txt HTTP/1.1,404
10.128.2.1,19/Feb/2018:19:51:02,GET /home.php HTTP/1.1,302
10.128.2.1,19/Feb/2018:19:51:02,GET /login.php HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:02,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:03,GET /css/main.css HTTP/1.1,200
10.131.0.1,19/Feb/2018:19:51:03,GET /css/style.css HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:03,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.0.1,19/Feb/2018:19:51:03,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.2.1,19/Feb/2018:19:51:03,GET /css/normalize.css HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:03,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.131.0.1,19/Feb/2018:19:51:03,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:04,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:04,GET /img/ruet.png HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:10,GET /login.php HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:17,GET /sign.php HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:24,GET /archive.php HTTP/1.1,302
10.128.2.1,19/Feb/2018:19:51:24,GET /login.php HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:27,GET /sign.php HTTP/1.1,200
10.128.2.1,19/Feb/2018:19:51:46,POST /action.php HTTP/1.1,302
10.130.2.1,19/Feb/2018:19:51:48,GET /login.php HTTP/1.1,200
10.130.2.1,19/Feb/2018:19:51:58,POST /process.php HTTP/1.1,302
10.130.2.1,19/Feb/2018:19:51:58,GET /archive.php HTTP/1.1,200
10.130.2.1,19/Feb/2018:19:51:59,GET /js/vendor/moment.min.js HTTP/1.1,200
10.130.2.1,19/Feb/2018:19:52:06,GET /compiler.php HTTP/1.1,200
10.130.2.1,19/Feb/2018:19:52:24,POST /compile.php HTTP/1.1,200
10.128.2.1,19/Feb/2018:23:38:38,GET / HTTP/1.1,302
10.128.2.1,19/Feb/2018:23:41:23,GET /login.php HTTP/1.1,200
