IP,Time,URL,Staus
10.130.2.1,17/Feb/2018:06:46:41,GET /robots.txt HTTP/1.1,404
10.128.2.1,17/Feb/2018:08:58:07,GET /robots.txt HTTP/1.1,404
10.131.0.1,17/Feb/2018:08:58:07,GET / HTTP/1.1,302
10.131.0.1,17/Feb/2018:08:58:08,GET /login.php HTTP/1.1,200
10.130.2.1,17/Feb/2018:08:58:10,GET /css/main.css HTTP/1.1,200
10.131.0.1,17/Feb/2018:08:58:10,GET /css/bootstrap.min.css HTTP/1.1,200
10.131.0.1,17/Feb/2018:08:58:10,GET /css/style.css HTTP/1.1,200
10.128.2.1,17/Feb/2018:08:58:11,GET /css/normalize.css HTTP/1.1,200
10.130.2.1,17/Feb/2018:08:58:12,GET /css/font-awesome.min.css HTTP/1.1,200
10.128.2.1,17/Feb/2018:12:01:09,GET / HTTP/1.1,302
10.128.2.1,17/Feb/2018:12:01:09,GET /login.php HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:19,GET / HTTP/1.1,302
10.130.2.1,17/Feb/2018:13:39:19,GET /login.php HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:19,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:19,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:20,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:20,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:23,GET / HTTP/1.1,302
10.130.2.1,17/Feb/2018:13:39:23,GET /login.php HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:23,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:24,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:25,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:13:39:25,GET /bootstrap-3.3.7/js/bootstrap.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:15:28:10,GET / HTTP/1.1,302
10.130.2.1,17/Feb/2018:15:28:10,GET /login.php HTTP/1.1,200
10.130.2.1,17/Feb/2018:17:20:35,GET /home.php HTTP/1.1,302
10.130.2.1,17/Feb/2018:17:20:35,GET /login.php HTTP/1.1,200
10.128.2.1,17/Feb/2018:17:20:35,GET /css/font-awesome.min.css HTTP/1.1,200
10.130.2.1,17/Feb/2018:17:20:35,GET /css/normalize.css HTTP/1.1,200
10.130.2.1,17/Feb/2018:17:20:35,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1,17/Feb/2018:17:20:35,GET /css/style.css HTTP/1.1,200
10.131.0.1,17/Feb/2018:17:20:35,GET /css/main.css HTTP/1.1,200
10.130.2.1,17/Feb/2018:17:20:35,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:17:20:35,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.131.0.1,17/Feb/2018:17:20:36,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.131.0.1,17/Feb/2018:17:20:36,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.131.0.1,17/Feb/2018:17:20:37,GET /img/ruet.png HTTP/1.1,200
10.131.0.1,17/Feb/2018:17:20:42,GET /login.php HTTP/1.1,200
10.131.0.1,17/Feb/2018:17:20:44,GET /login.php HTTP/1.1,200
10.128.2.1,17/Feb/2018:18:37:05,GET /img/ruet.png HTTP/1.1,304
10.128.2.1,17/Feb/2018:19:44:26,GET /robots.txt HTTP/1.1,404
10.131.0.1,17/Feb/2018:19:53:13,GET / HTTP/1.1,302
10.128.2.1,17/Feb/2018:19:53:14,GET /login.php HTTP/1.1,200
10.131.0.1,17/Feb/2018:19:53:14,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.130.2.1,17/Feb/2018:19:53:14,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.131.0.1,17/Feb/2018:19:53:14,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:37,GET /home.php HTTP/1.1,302
10.130.2.1,17/Feb/2018:20:08:37,GET /robots.txt HTTP/1.1,404
10.128.2.1,17/Feb/2018:20:08:37,GET /login.php HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:38,GET /css/bootstrap.min.css HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:38,GET /css/font-awesome.min.css HTTP/1.1,200
10.131.0.1,17/Feb/2018:20:08:38,GET /css/normalize.css HTTP/1.1,200
10.131.0.1,17/Feb/2018:20:08:38,GET /css/main.css HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:38,GET /css/style.css HTTP/1.1,200
10.131.0.1,17/Feb/2018:20:08:38,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:39,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:39,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:42,GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:44,GET /img/ruet.png HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:08:56,POST /process.php HTTP/1.1,302
10.128.2.1,17/Feb/2018:20:08:56,GET /login.php?value=fail HTTP/1.1,200
10.128.2.1,17/Feb/2018:20:20:17,GET / HTTP/1.1,302
10.130.2.1,17/Feb/2018:20:20:18,GET /login.php HTTP/1.1,200
10.130.2.1,17/Feb/2018:20:20:28,POST /process.php HTTP/1.1,302
10.130.2.1,17/Feb/2018:20:20:28,GET /login.php?value=fail HTTP/1.1,200
